date,steps,distance,runDistance,calories
2021-09-17,114,74,7,3
2021-09-18,9793,6593,732,243
2021-09-19,6865,4626,407,170
2021-09-20,12289,8538,790,906
2021-09-21,9137,6184,708,239
2021-09-22,7372,4994,542,483
2021-09-23,12580,8789,1579,858
2021-09-24,11814,8086,774,359
2021-09-25,7472,4945,372,415
2021-09-26,15175,10538,524,833
2021-09-27,10358,7209,1040,454
2021-09-28,16094,11806,3841,900
2021-09-29,14064,10064,526,946
2021-09-30,12455,8766,452,617
2021-10-01,10205,6910,427,759
2021-10-02,5524,3729,407,244
2021-10-03,15067,10217,653,691
2021-10-04,7999,5564,1050,386
2021-10-05,8726,5784,427,589
2021-10-06,8970,6327,720,767
2021-10-07,7854,5417,749,370
2021-10-08,15864,11387,1609,1147
2021-10-09,5809,3915,566,248
2021-10-10,6785,4521,288,581
2021-10-11,11030,7908,935,991
2021-10-12,12571,8892,670,644
2021-10-13,5712,3908,385,887
2021-10-14,8419,5736,456,472
2021-10-15,7220,4924,704,406
2021-10-16,10490,7196,498,764
2021-10-17,7510,5377,1831,389
2021-10-18,10197,7457,2953,781
2021-10-19,8023,5442,477,298
2021-10-20,6431,4338,607,250
2021-10-21,8793,5925,547,605
2021-10-22,10418,7298,1000,607
2021-10-23,10228,6901,687,385
2021-10-24,9009,6320,1139,414
2021-10-25,9401,6467,777,713
2021-10-26,8782,5900,645,395
2021-10-27,8204,5661,743,661
2021-10-28,5073,3509,513,219
2021-10-29,12542,8645,912,773
2021-10-30,11573,9298,4404,742
2021-10-31,6982,4773,278,274
2021-11-01,12613,8925,458,910
2021-11-02,7270,4932,596,276
2021-11-03,10952,7651,848,883
2021-11-04,15265,11250,3019,1074
2021-11-05,8366,5607,560,521
2021-11-06,13518,8979,364,467
2021-11-07,8533,5949,812,645
2021-11-08,10515,7146,555,535
2021-11-09,3859,2579,546,155
2021-11-10,10870,7646,991,880
2021-11-11,4091,2723,262,325
2021-11-12,7113,5061,484,322
2021-11-13,7078,4798,675,629
2021-11-14,9566,6660,572,497
2021-11-15,6878,4749,397,660
2021-11-16,6480,4416,695,267
2021-11-17,10365,7375,2425,627
2021-11-18,7877,5198,536,273
2021-11-19,8796,6101,759,585
2021-11-20,11740,8136,868,839
2021-11-21,8333,5590,634,585
2021-11-22,6078,4167,682,252
2021-11-23,12336,8629,2029,759
2021-11-24,7206,4978,1212,478
2021-11-25,6978,4773,369,580
2021-11-26,10419,7368,1068,682
2021-11-27,13409,9611,3082,787
2021-11-28,5225,3561,433,388
2021-11-29,8633,5981,1157,481
2021-11-30,11574,7952,1622,610
2021-12-01,6362,4471,1021,294
2021-12-02,11151,7941,2111,659
2021-12-03,10669,7348,849,791
2021-12-04,8278,5622,708,490
2021-12-05,9348,6486,1073,636
2021-12-06,6728,4602,1026,347
2021-12-07,7630,4999,559,489
2021-12-08,11452,8040,1411,1045
2021-12-09,7969,5463,452,409
2021-12-10,9238,6328,1041,725
2021-12-11,7553,5013,600,338
2021-12-12,8926,6692,2456,603
2021-12-13,11950,8862,994,780
2021-12-14,9146,6248,477,793
2021-12-15,6589,4575,590,337
2021-12-16,7820,5198,766,327
2021-12-17,8994,6222,1079,786
2021-12-18,8767,5941,697,831
2021-12-19,7340,4992,252,344
2021-12-20,6466,4511,637,356
2021-12-21,8194,5639,477,417
2021-12-22,13581,9662,964,801
2021-12-23,8958,6132,791,434
2021-12-24,10352,7365,577,587
2021-12-25,13271,8950,360,594
2021-12-26,12162,8489,646,666
2021-12-27,13530,9530,377,743
2021-12-28,20330,15226,3611,1535
2021-12-29,11392,7990,827,629
2021-12-30,19239,14557,3965,1502
2021-12-31,11096,7738,526,590
2022-01-01,16576,12545,4212,1176
2022-01-02,17031,12301,772,1033
2022-01-03,18820,14342,4685,1354
2022-01-04,9842,7078,772,605
2022-01-05,20052,15208,4222,1289
2022-01-06,11153,7682,770,670
2022-01-07,12859,9084,594,721
2022-01-08,19706,14333,766,1418
2022-01-09,14363,11285,3990,978
2022-01-10,15489,10738,523,779
2022-01-11,18481,13098,906,1041
2022-01-12,16633,11954,828,1263
2022-01-13,14536,10220,311,784
2022-01-14,18864,13446,898,1082
2022-01-15,10574,7189,570,783
2022-01-16,19142,13679,598,1123
2022-01-17,16224,11506,1240,1304
2022-01-18,18045,12850,1010,1268
2022-01-19,7547,5337,1024,452
2022-01-20,19781,14268,2680,1150
2022-01-21,13930,9852,813,1004
2022-01-22,12589,8827,434,651
2022-01-23,14114,10787,2587,927
2022-01-24,14092,9908,1045,1053
2022-01-25,19968,14147,1279,1101
2022-01-26,18895,13436,743,1043
2022-01-27,16731,11701,879,1212
2022-01-28,18378,13078,626,1000
2022-01-29,17797,12247,317,842
