date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2021-09-17,0,0,0,2021-09-17 21:00:00+0000,2021-09-17 21:00:00+0000,0,
2021-09-18,169,192,36,2021-09-17 20:16:00+0000,2021-09-18 04:07:00+0000,74,
2021-09-19,86,234,0,2021-09-18 20:17:00+0000,2021-09-19 03:07:00+0000,90,
2021-09-20,94,227,26,2021-09-19 19:46:00+0000,2021-09-20 03:04:00+0000,91,
2021-09-21,91,263,6,2021-09-20 19:51:00+0000,2021-09-21 02:48:00+0000,57,
2021-09-22,115,309,8,2021-09-21 19:30:00+0000,2021-09-22 03:05:00+0000,23,
2021-09-23,112,245,11,2021-09-22 19:49:00+0000,2021-09-23 03:05:00+0000,68,
2021-09-24,129,277,6,2021-09-23 19:51:00+0000,2021-09-24 03:05:00+0000,22,
2021-09-25,127,402,17,2021-09-24 19:10:00+0000,2021-09-25 04:21:00+0000,5,
2021-09-26,28,336,27,2021-09-25 19:45:00+0000,2021-09-26 04:45:00+0000,149,
2021-09-27,102,236,7,2021-09-26 19:31:00+0000,2021-09-27 02:37:00+0000,81,
2021-09-28,88,238,6,2021-09-27 19:57:00+0000,2021-09-28 03:08:00+0000,99,
2021-09-29,106,318,22,2021-09-28 19:51:00+0000,2021-09-29 04:15:00+0000,58,
2021-09-30,182,178,0,2021-09-29 19:11:00+0000,2021-09-30 03:05:00+0000,114,
2021-10-01,150,203,15,2021-09-30 19:45:00+0000,2021-10-01 03:53:00+0000,120,
2021-10-02,125,225,13,2021-10-01 19:53:00+0000,2021-10-02 03:35:00+0000,99,
2021-10-03,117,265,14,2021-10-02 19:50:00+0000,2021-10-03 03:55:00+0000,89,
2021-10-04,78,232,9,2021-10-03 20:27:00+0000,2021-10-04 03:05:00+0000,79,
2021-10-05,136,242,17,2021-10-04 19:36:00+0000,2021-10-05 04:02:00+0000,111,
2021-10-06,39,267,22,2021-10-05 19:50:00+0000,2021-10-06 03:36:00+0000,138,
2021-10-07,108,255,16,2021-10-06 19:31:00+0000,2021-10-07 04:14:00+0000,144,
2021-10-08,105,343,5,2021-10-07 19:27:00+0000,2021-10-08 03:05:00+0000,5,
2021-10-09,46,319,9,2021-10-08 19:14:00+0000,2021-10-09 03:53:00+0000,145,
2021-10-10,111,254,7,2021-10-09 19:27:00+0000,2021-10-10 03:04:00+0000,85,
2021-10-11,113,313,16,2021-10-10 19:35:00+0000,2021-10-11 03:35:00+0000,38,
2021-10-12,42,276,27,2021-10-11 19:39:00+0000,2021-10-12 03:34:00+0000,130,
2021-10-13,25,266,36,2021-10-12 19:14:00+0000,2021-10-13 03:05:00+0000,144,
2021-10-14,127,273,7,2021-10-13 19:46:00+0000,2021-10-14 03:07:00+0000,34,
2021-10-15,110,220,5,2021-10-14 19:49:00+0000,2021-10-15 03:05:00+0000,101,
2021-10-16,111,342,25,2021-10-15 19:46:00+0000,2021-10-16 04:23:00+0000,39,
2021-10-17,93,258,7,2021-10-16 20:12:00+0000,2021-10-17 03:35:00+0000,85,
2021-10-18,108,284,16,2021-10-17 19:59:00+0000,2021-10-18 03:56:00+0000,69,
2021-10-19,91,230,6,2021-10-18 20:04:00+0000,2021-10-19 03:05:00+0000,94,
2021-10-20,101,218,27,2021-10-19 19:49:00+0000,2021-10-20 03:42:00+0000,127,
2021-10-21,140,217,20,2021-10-20 19:50:00+0000,2021-10-21 03:45:00+0000,98,
2021-10-22,110,259,6,2021-10-21 19:57:00+0000,2021-10-22 03:53:00+0000,101,
2021-10-23,78,290,21,2021-10-22 19:52:00+0000,2021-10-23 04:43:00+0000,142,
2021-10-24,98,360,5,2021-10-23 19:54:00+0000,2021-10-24 04:04:00+0000,27,
2021-10-25,28,281,0,2021-10-24 19:35:00+0000,2021-10-25 03:06:00+0000,142,
2021-10-26,143,269,5,2021-10-25 19:56:00+0000,2021-10-26 03:05:00+0000,12,
