type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
16,2023-04-18 13:24:24+0000,479,0.0,1.800000071525574,0.0,0.0,43.0
49,2023-04-18 12:30:33+0000,2160,0.0,1.800000071525574,0.0,0.0,401.0
16,2023-04-17 11:49:53+0000,4459,0.0,1.800000071525574,0.0,0.0,588.0
49,2023-04-16 11:01:30+0000,165,0.0,1.800000071525574,0.0,0.0,30.0
16,2023-04-16 10:57:37+0000,18,0.0,1.800000071525574,0.0,0.0,1.0
16,2023-04-16 08:13:30+0000,3068,0.0,1.800000071525574,0.0,0.0,362.0
1,2023-04-16 06:52:36+0000,2869,201.0,0.201412707567215,8258.0,0.347,510.0
49,2023-04-13 14:00:06+0000,2471,0.0,1.800000071525574,0.0,0.0,404.0
49,2023-04-12 13:45:53+0000,2092,0.0,1.800000071525574,0.0,0.0,280.0
16,2023-04-11 10:24:33+0000,1704,0.0,1.800000071525574,0.0,0.0,158.0
49,2023-04-09 11:20:36+0000,1644,0.0,1.800000071525574,0.0,0.0,258.0
16,2023-04-06 10:46:45+0000,1356,0.0,1.800000071525574,0.0,0.0,133.0
49,2023-04-06 10:10:12+0000,2175,0.0,1.800000071525574,0.0,0.0,301.0
16,2023-04-04 12:47:05+0000,1431,0.0,1.800000071525574,0.0,0.0,159.0
49,2023-04-04 12:20:39+0000,1174,0.0,1.800000071525574,0.0,0.0,144.0
1,2023-04-02 07:44:08+0000,1371,189.0,0.1894065886735916,3906.0,0.35,225.0
16,2023-03-31 13:15:26+0000,1718,0.0,1.800000071525574,0.0,0.0,191.0
16,2023-03-30 12:56:21+0000,501,0.0,1.800000071525574,0.0,0.0,60.0
16,2023-03-28 12:22:30+0000,889,0.0,1.800000071525574,0.0,0.0,82.0
49,2023-03-28 11:30:03+0000,2621,0.0,1.800000071525574,0.0,0.0,397.0
16,2023-03-27 15:54:20+0000,2417,0.0,1.800000071525574,0.0,0.0,210.0
1,2023-03-25 11:33:27+0000,715,444.0,0.4448887705802917,798.0,0.895,52.0
16,2023-03-24 10:19:04+0000,3056,0.0,1.800000071525574,0.0,0.0,301.0
16,2023-03-23 13:53:59+0000,761,0.0,1.800000071525574,0.0,0.0,73.0
23,2023-03-23 13:09:43+0000,2369,0.0,1.800000071525574,0.0,0.0,306.0
16,2023-03-21 10:50:22+0000,953,0.0,1.800000071525574,0.0,0.0,85.0
