year,week_number,polen_level
2021,2,102
2021,3,162
2021,4,677
2021,5,720
2021,6,2107
2021,7,603
2021,8,515
2021,9,2297
2021,10,8245
2021,11,5780
2021,12,3843
2021,13,1956
2021,14,1624
2021,15,1026
2021,16,475
2021,17,1368
2021,18,1875
2021,19,4040
2021,20,2312
2021,21,1184
2021,22,417
2021,23,634
2021,24,482
2021,25,166
2021,26,184
2021,27,182
2021,28,160
2021,29,146
2021,30,86
2021,31,73
2021,32,67
2021,33,81
2021,34,69
2021,35,53
2021,36,79
2021,37,86
2021,38,134
2021,39,272
2021,40,1055
2021,41,591
2021,42,316
2021,43,549
2021,44,292
2021,45,282
2021,46,98
2021,47,37
2021,48,130
2021,49,212
2021,50,59
2021,51,145
2021,52,306
2022,1,413
2022,2,142
2022,3,72
2022,4,113
2022,5,756
2022,6,356
2022,7,942
2022,8,1073
2022,9,1587
2022,10,3105
2022,11,640
2022,12,669
2022,13,2884
2022,14,4999
2022,15,2874
2022,16,2145
2022,17,1394
2022,18,112
2022,19,1223
2022,20,2111
2022,21,2998
2022,22,1536
2022,23,1250
2022,24,225
2022,25,319
2022,26,127
2022,27,170
2022,28,103
2022,29,104
2022,30,91
2022,31,109
2022,32,83
2022,33,101
2022,34,48
2022,35,68
2022,36,95
2022,37,67
2022,38,35
2022,39,70
2022,40,48
2022,41,211
2022,42,277
2022,43,228
2022,44,355
2022,45,64
2022,46,111
2022,47,71
2022,48,47
2022,49,78
2022,50,61
2022,51,96
2022,52,67
2023,1,94
2023,2,224
2023,3,89
2023,4,30
2023,5,104
2023,6,45
2023,7,111
2023,8,182
2023,9,129
2023,10,2115
2023,11,2166
2023,12,5548
2023,13,9222
2023,14,3388
2023,15,2569
