"id","created_at","updated_at","scaled_strain","during","user_id","sleep_need","predicted_end","timezone_offset","days","data_state","day_kilojoules","day_avg_heart_rate","day_max_heart_rate"
357491336,"2023-04-15T05:24:26.554+0000","2023-04-15T08:04:32.574+0000",,"['2023-04-14T21:20:21.976Z',)",6696318,,"2023-04-15T21:20:21.976+0000","+0200","['2023-04-15','2023-04-16')","pending",,,
357026335,"2023-04-14T03:01:08.246+0000","2023-04-15T05:24:31.694+0000",8.634521383369938,"['2023-04-13T21:44:21.877Z','2023-04-14T21:20:21.976Z')",6696318,,"2023-04-14T21:20:21.976+0000","+0200","['2023-04-14','2023-04-15')","complete",8020.91552734375,64,129
356609860,"2023-04-13T04:57:33.065+0000","2023-04-14T03:01:13.389+0000",14.277711091339736,"['2023-04-12T21:08:40.770Z','2023-04-13T21:44:21.877Z')",6696318,,"2023-04-13T21:44:21.877+0000","+0200","['2023-04-13','2023-04-14')","complete",11474.7509765625,67,162
356168301,"2023-04-12T04:24:57.937+0000","2023-04-13T04:57:38.219+0000",11.816082992313468,"['2023-04-11T21:37:28.814Z','2023-04-12T21:08:40.770Z')",6696318,,"2023-04-12T21:08:40.770+0000","+0200","['2023-04-12','2023-04-13')","complete",9352.0283203125,66,142
355740779,"2023-04-11T04:53:14.704+0000","2023-04-12T04:25:03.067+0000",14.06604112803627,"['2023-04-10T20:54:34.068Z','2023-04-11T21:37:28.814Z')",6696318,,"2023-04-11T21:37:28.814+0000","+0200","['2023-04-11','2023-04-12')","complete",11507.419921875,67,152
355270447,"2023-04-10T02:05:01.313+0000","2023-04-11T04:53:19.865+0000",7.624690328640067,"['2023-04-09T21:05:43.051Z','2023-04-10T20:54:34.068Z')",6696318,,"2023-04-10T20:54:34.068+0000","+0200","['2023-04-10','2023-04-11')","complete",7918.669921875,60,138
354875878,"2023-04-09T04:56:42.726+0000","2023-04-10T02:05:06.524+0000",11.767187401875907,"['2023-04-08T20:45:50.798Z','2023-04-09T21:05:43.051Z')",6696318,,"2023-04-09T21:05:43.051+0000","+0200","['2023-04-09','2023-04-10')","complete",9138.5732421875,60,168
354440215,"2023-04-08T03:28:15.162+0000","2023-04-09T04:56:47.892+0000",11.692342736217105,"['2023-04-07T21:02:09.157Z','2023-04-08T20:45:50.798Z')",6696318,,"2023-04-08T20:45:50.798+0000","+0200","['2023-04-08','2023-04-09')","complete",9376.875,64,144
354047046,"2023-04-07T05:51:55.506+0000","2023-04-08T03:28:20.302+0000",7.348483292532175,"['2023-04-06T20:44:18.967Z','2023-04-07T21:02:09.157Z')",6696318,,"2023-04-07T21:02:09.157+0000","+0200","['2023-04-07','2023-04-08')","complete",8040.79248046875,58,128
353594192,"2023-04-06T04:58:06.885+0000","2023-04-07T05:52:00.658+0000",12.28670465682515,"['2023-04-05T21:19:50.936Z','2023-04-06T20:44:18.967Z')",6696318,,"2023-04-06T20:44:18.967+0000","+0200","['2023-04-06','2023-04-07')","complete",9317.673828125,64,162
353165060,"2023-04-05T05:23:38.741+0000","2023-04-06T04:58:12.057+0000",11.444173337156922,"['2023-04-04T21:45:44.189Z','2023-04-05T21:19:50.936Z')",6696318,,"2023-04-05T21:19:50.936+0000","+0200","['2023-04-05','2023-04-06')","complete",9159.9921875,64,137
352688504,"2023-04-04T03:28:25.718+0000","2023-04-05T05:23:43.892+0000",14.068150956130763,"['2023-04-03T21:02:53.554Z','2023-04-04T21:45:44.189Z')",6696318,,"2023-04-04T21:45:44.189+0000","+0200","['2023-04-04','2023-04-05')","complete",11131.302734375,67,171
352266554,"2023-04-03T04:51:27.563+0000","2023-04-04T03:28:30.877+0000",12.9459567566832,"['2023-04-02T21:20:38.481Z','2023-04-03T21:02:53.554Z')",6696318,,"2023-04-03T21:02:53.554+0000","+0200","['2023-04-03','2023-04-04')","complete",10056.03125,64,148
