"hr","accel_x","accel_y","accel_z","skin_temp","ts"
44,0.5534961,0.34391358,0.76819825,356,"2023-02-04T00:00:00.911Z"
42,0.5539844,0.34424073,0.7682178,356,"2023-02-04T00:01:01.473Z"
42,0.5547241,0.34467041,0.7678931,356,"2023-02-04T00:02:02.036Z"
42,0.55451906,0.3439917,0.7684595,356,"2023-02-04T00:03:02.598Z"
45,0.554646,0.34462646,0.76825684,356,"2023-02-04T00:04:03.160Z"
42,0.5535303,0.34376708,0.76897216,356,"2023-02-04T00:05:03.722Z"
43,0.5543433,0.34398437,0.769104,356,"2023-02-04T00:06:04.284Z"
43,0.55327636,0.34302735,0.7701514,356,"2023-02-04T00:07:04.847Z"
43,0.5533789,0.34272218,0.769856,356,"2023-02-04T00:08:05.409Z"
43,0.55328125,0.34227294,0.76976806,357,"2023-02-04T00:09:05.971Z"
44,0.55372804,0.342395,0.76923585,357,"2023-02-04T00:10:06.533Z"
44,0.5552319,0.34415528,0.76764894,357,"2023-02-04T00:11:07.095Z"
42,0.553855,0.34323487,0.7696875,357,"2023-02-04T00:12:07.658Z"
45,0.55398923,0.34214357,0.7699219,357,"2023-02-04T00:13:08.220Z"
42,0.5534351,0.34312743,0.76964355,357,"2023-02-04T00:14:08.782Z"
56,0.6426465,-0.2978052,0.72923094,356,"2023-02-04T00:15:09.344Z"
45,0.644812,-0.30188233,0.7260132,356,"2023-02-04T00:16:09.906Z"
43,0.64441895,-0.30230957,0.7259131,356,"2023-02-04T00:17:10.469Z"
52,0.6539478,-0.40750733,0.6660132,356,"2023-02-04T00:18:11.031Z"
45,0.65503174,-0.40709716,0.66550046,356,"2023-02-04T00:19:11.606Z"
40,0.56638914,-0.13433105,0.82771486,356,"2023-02-04T00:20:12.168Z"
44,0.56404054,-0.14871827,0.8272827,356,"2023-02-04T00:21:12.730Z"
47,0.57536864,-0.18815674,0.8136255,356,"2023-02-04T00:22:13.292Z"
46,0.5745459,-0.17333984,0.81650877,355,"2023-02-04T00:23:13.854Z"
44,0.58687013,-0.13332519,0.8143457,355,"2023-02-04T00:24:14.417Z"
43,0.5665112,-0.12868896,0.829375,355,"2023-02-04T00:25:14.979Z"
44,0.5661401,-0.1295752,0.8292651,355,"2023-02-04T00:26:15.541Z"
43,0.56865233,-0.13623291,0.8267456,355,"2023-02-04T00:27:16.104Z"
38,0.57593507,-0.1278833,0.8231348,355,"2023-02-04T00:28:16.666Z"
41,0.5749902,-0.12779541,0.8232007,356,"2023-02-04T00:29:17.228Z"
44,0.5714502,-0.1261084,0.8269141,355,"2023-02-04T00:30:17.790Z"
57,0.5480908,-0.5463843,0.6601953,355,"2023-02-04T00:31:18.352Z"
40,0.54887694,-0.5445874,0.6614063,355,"2023-02-04T00:32:18.915Z"
45,0.548606,-0.5441064,0.66154784,355,"2023-02-04T00:33:19.477Z"
41,0.5492847,-0.5438623,0.66160643,355,"2023-02-04T00:34:20.039Z"
41,0.54920655,-0.543938,0.661499,355,"2023-02-04T00:35:20.601Z"
42,0.550874,-0.543562,0.65990967,355,"2023-02-04T00:36:21.163Z"
42,0.54980224,-0.54395264,0.6609375,355,"2023-02-04T00:37:21.726Z"
40,0.5499658,-0.5442334,0.66093016,355,"2023-02-04T00:38:22.300Z"
42,0.54976565,-0.5444116,0.66096926,355,"2023-02-04T00:39:22.863Z"
44,0.54968995,-0.54420656,0.66061765,355,"2023-02-04T00:40:23.425Z"
43,0.54953855,-0.5441968,0.66082275,355,"2023-02-04T00:41:23.987Z"
43,0.5491821,-0.54371095,0.661062,355,"2023-02-04T00:42:24.549Z"
41,0.5493115,-0.5442554,0.6607227,355,"2023-02-04T00:43:25.111Z"
41,0.5500952,-0.54457766,0.6599976,355,"2023-02-04T00:44:25.674Z"
40,0.5509448,-0.5436792,0.65997314,355,"2023-02-04T00:45:26.236Z"
