"hr","accel_x","accel_y","accel_z","skin_temp","ts"
49,-0.17307861,0.32757324,0.925166,325,"2022-12-09T10:36:32.344Z"
60,0.273562,0.9562378,-0.050827637,329,"2022-12-09T10:37:32.888Z"
67,0.2395459,0.9544409,-0.16902588,334,"2022-12-09T10:38:33.433Z"
50,0.20641845,0.9580176,-0.18763672,337,"2022-12-09T10:39:33.995Z"
53,0.1920337,0.95945555,-0.1948877,340,"2022-12-09T10:40:34.557Z"
49,0.27670166,0.9163257,-0.29875,343,"2022-12-09T10:41:35.102Z"
44,0.26930907,0.93461424,-0.2337085,345,"2022-12-09T10:42:35.664Z"
56,0.2657544,0.90765136,-0.3482373,348,"2022-12-09T10:43:36.226Z"
51,0.32651612,0.77020264,0.5273828,349,"2022-12-09T10:44:36.770Z"
46,0.27241457,0.89901614,-0.35125977,352,"2022-12-09T10:45:37.333Z"
65,0.4782617,0.40572754,0.73383546,354,"2022-12-09T10:46:37.895Z"
66,0.06310791,0.48439208,0.84959716,352,"2022-12-09T10:47:38.439Z"
70,0.3181836,0.67526126,0.5905664,353,"2022-12-09T10:48:39.001Z"
80,0.26653808,0.71232176,0.46171388,350,"2022-12-09T10:49:39.563Z"
75,-0.3978247,0.7251807,0.39408448,350,"2022-12-09T10:50:40.125Z"
95,-0.06591797,0.98075926,-0.3030835,349,"2022-12-09T10:51:40.688Z"
98,0.13426758,0.30195314,0.9109912,349,"2022-12-09T10:52:41.250Z"
84,0.092268065,0.38194335,0.9039453,351,"2022-12-09T10:53:41.812Z"
73,0.33367187,0.9094824,-0.24720214,352,"2022-12-09T10:54:42.374Z"
53,0.59884036,0.70340574,0.3827246,354,"2022-12-09T10:55:42.936Z"
46,0.5889966,0.64147705,0.48671386,355,"2022-12-09T10:56:43.498Z"
46,0.83513916,0.43269774,0.36131835,358,"2022-12-09T10:57:44.061Z"
56,0.4278589,0.81984866,-0.14297363,360,"2022-12-09T10:58:44.623Z"
63,0.29995117,0.94715333,-0.10873535,358,"2022-12-09T10:59:45.185Z"
69,0.34634277,0.9261865,0.114799805,359,"2022-12-09T11:00:45.747Z"
58,0.34171388,0.9369995,0.02199707,360,"2022-12-09T11:01:46.309Z"
59,0.34404296,0.9375098,-0.027451172,363,"2022-12-09T11:02:46.871Z"
59,0.423396,0.84920657,0.29371825,364,"2022-12-09T11:03:47.433Z"
55,0.407146,0.77559084,0.47368407,366,"2022-12-09T11:04:47.995Z"
71,0.48624757,0.82457274,-0.29369628,366,"2022-12-09T11:05:48.557Z"
65,0.07827881,0.36882323,0.9139966,366,"2022-12-09T11:06:49.119Z"
68,0.14841065,0.45026612,0.8699463,366,"2022-12-09T11:07:49.682Z"
83,-0.023198241,0.24870606,0.9580444,366,"2022-12-09T11:08:50.244Z"
75,0.09886475,0.47348633,0.85567874,366,"2022-12-09T11:09:50.806Z"
98,0.096635744,0.44154054,0.8834619,367,"2022-12-09T11:10:51.368Z"
82,0.07694092,0.41886476,0.8974463,369,"2022-12-09T11:11:51.913Z"
75,0.32758546,0.83524656,0.42448243,369,"2022-12-09T11:12:52.475Z"
82,0.10226074,0.46753174,0.87071776,370,"2022-12-09T11:13:53.037Z"
71,0.7422314,0.34494874,0.56894773,369,"2022-12-09T11:14:53.599Z"
72,0.23119384,0.8952417,0.34531495,369,"2022-12-09T11:15:55.122Z"
71,0.021540528,0.2350415,0.9662427,372,"2022-12-09T11:16:55.684Z"
68,0.3915503,0.91953856,-0.016208496,365,"2022-12-09T11:17:56.247Z"
69,0.3082007,0.93129885,-0.20537354,366,"2022-12-09T11:18:56.809Z"
65,0.020944824,0.21379639,0.9706006,373,"2022-12-09T11:19:57.371Z"
58,0.04097412,0.22444825,0.96784425,375,"2022-12-09T11:20:57.933Z"
66,0.045256346,0.33047852,0.9361035,374,"2022-12-09T11:21:58.495Z"
70,0.07397461,0.19473633,0.9729956,379,"2022-12-09T11:22:59.057Z"
60,0.104575194,0.219729,0.9653589,378,"2022-12-09T11:23:59.619Z"
81,-0.65000486,0.40769777,-0.60178953,376,"2022-12-09T11:25:00.181Z"
64,0.06991455,0.35795897,0.9106665,351,"2022-12-09T11:26:00.641Z"
64,0.030422363,0.09986572,0.97493654,364,"2022-12-09T11:27:01.185Z"
65,0.40783203,0.004111328,0.90680176,360,"2022-12-09T11:28:01.748Z"
76,0.33806884,0.88342774,-0.29057616,360,"2022-12-09T11:29:02.310Z"
76,0.41990235,0.11280762,0.8989087,366,"2022-12-09T11:30:02.854Z"
82,-0.0074487305,0.23144776,0.95142335,353,"2022-12-09T11:31:03.348Z"
79,-0.018950196,0.32952392,0.92320067,356,"2022-12-09T11:32:03.893Z"
65,-0.061462402,0.310542,0.92851317,359,"2022-12-09T11:33:04.455Z"
82,0.26441652,0.4189331,0.86368406,359,"2022-12-09T11:34:05.017Z"
77,0.19147705,0.5034082,0.8240015,363,"2022-12-09T11:35:05.579Z"
79,0.114104,0.44542235,0.86134523,360,"2022-12-09T11:36:06.124Z"
84,-0.23877686,0.4343115,0.85299563,366,"2022-12-09T11:37:06.686Z"
77,0.022780761,0.5358081,0.83294433,371,"2022-12-09T11:38:07.248Z"
80,0.2957886,0.7745996,-0.561355,365,"2022-12-09T11:39:07.810Z"
51,-0.051574707,0.7982031,-0.39885253,365,"2022-12-09T11:40:08.372Z"
63,-0.51225585,0.7281665,-0.17262451,370,"2022-12-09T11:41:08.935Z"
64,-0.09574219,1.001084,-0.022216797,372,"2022-12-09T11:42:09.497Z"
81,0.61786866,0.4855469,0.4619995,369,"2022-12-09T11:43:10.059Z"
98,0.48077148,-0.20161133,0.8507129,367,"2022-12-09T11:44:10.621Z"
105,-0.14294189,0.9670825,-0.098947756,340,"2022-12-09T11:45:11.184Z"
97,0.9932959,0.026652832,0.26004884,334,"2022-12-09T11:46:11.746Z"
101,0.9904175,0.5846167,0.21690185,328,"2022-12-09T11:47:12.308Z"
97,1.1853442,0.36248046,0.09442383,321,"2022-12-09T11:48:12.870Z"
75,1.1929102,0.35342774,0.081191406,318,"2022-12-09T11:49:13.433Z"
81,1.0686694,0.35774902,0.12686524,313,"2022-12-09T11:50:13.995Z"
72,-0.31026122,0.9448999,0.057873536,307,"2022-12-09T11:51:14.557Z"
64,-0.2243335,0.8207275,0.4805249,304,"2022-12-09T11:52:15.119Z"
78,0.7276416,0.43559083,0.5610913,300,"2022-12-09T11:53:15.681Z"
76,0.5650659,0.7166626,0.41324952,295,"2022-12-09T11:54:16.244Z"
84,0.7591089,0.65024656,0.12483154,292,"2022-12-09T11:55:16.806Z"
78,0.5478491,0.5503589,0.59900635,289,"2022-12-09T11:56:17.368Z"
92,0.7252295,0.43186525,0.5697754,286,"2022-12-09T11:57:17.930Z"
110,0.7259277,0.21639892,0.66745114,274,"2022-12-09T11:58:18.492Z"
69,0.71162844,0.50734377,0.47628173,278,"2022-12-09T11:59:19.055Z"
93,0.8070117,0.55500734,0.24409668,278,"2022-12-09T12:00:19.617Z"
121,0.7326074,0.22411865,0.6512378,273,"2022-12-09T12:01:20.179Z"
132,0.6890381,0.47522217,0.5787012,272,"2022-12-09T12:02:20.741Z"
122,0.6758203,0.5810083,0.42618653,288,"2022-12-09T12:03:21.303Z"
131,0.7246118,0.5282129,0.4559204,287,"2022-12-09T12:04:21.866Z"
116,0.6881397,0.54800296,0.45800537,284,"2022-12-09T12:05:22.428Z"
109,0.6900635,0.5681372,0.4603247,284,"2022-12-09T12:06:22.990Z"
116,0.6773804,0.5637256,0.46765625,283,"2022-12-09T12:07:23.552Z"
124,0.65391845,0.58460206,0.4782666,280,"2022-12-09T12:08:24.098Z"
94,-0.276875,0.8416626,0.4213379,280,"2022-12-09T12:09:24.660Z"
75,-0.57494384,0.47921875,0.459209,276,"2022-12-09T12:10:25.222Z"
88,0.84384274,0.57979006,0.16152832,277,"2022-12-09T12:11:25.785Z"
85,-0.017919922,0.8149341,0.5514502,275,"2022-12-09T12:12:26.347Z"
83,-0.3065039,0.9180908,0.10867432,276,"2022-12-09T12:13:26.909Z"
80,0.8754028,0.4637256,0.014641114,274,"2022-12-09T12:14:27.471Z"
88,0.45004883,0.84537107,0.31166258,272,"2022-12-09T12:15:28.033Z"
85,0.32310304,0.6449414,0.6431201,268,"2022-12-09T12:16:28.596Z"
86,0.59900635,0.73691404,0.318396,276,"2022-12-09T12:17:29.158Z"
83,-0.23981202,0.899292,-0.37679198,275,"2022-12-09T12:18:29.720Z"
82,0.99167967,0.2164624,0.06778076,278,"2022-12-09T12:19:30.282Z"
65,0.98646486,0.23676026,0.070410155,279,"2022-12-09T12:20:30.844Z"
76,0.20942871,0.94521976,0.016003419,279,"2022-12-09T12:21:31.407Z"
103,0.7746753,0.41138184,0.49286866,279,"2022-12-09T12:22:31.969Z"
74,0.73578614,0.46822265,0.50212157,280,"2022-12-09T12:23:32.531Z"
101,0.7705835,0.5351636,0.36612794,279,"2022-12-09T12:24:33.094Z"
81,0.8933032,0.1313086,0.49238038,279,"2022-12-09T12:25:33.656Z"
109,0.71365476,0.45080078,0.5246509,281,"2022-12-09T12:26:34.218Z"
97,1.1768823,0.38209715,0.07779297,280,"2022-12-09T12:27:34.780Z"
95,0.68084717,0.7553491,0.05664795,278,"2022-12-09T12:28:35.342Z"
108,0.91060305,0.12871094,-0.21672364,267,"2022-12-09T12:29:35.907Z"
112,0.22669922,0.65651613,0.33350587,267,"2022-12-09T12:30:36.467Z"
105,0.9085718,0.45432618,0.13243164,268,"2022-12-09T12:31:37.029Z"
86,-0.20047364,0.94687986,-0.22273682,267,"2022-12-09T12:32:37.591Z"
56,-0.34222656,0.52954346,0.7248901,266,"2022-12-09T12:33:38.212Z"
76,-0.016467284,0.95164794,0.26768798,280,"2022-12-09T12:34:38.774Z"
