"activity_id","during","type"
563098746,"['2022-12-09T21:31:46.751Z','2022-12-09T21:34:09.985Z')","wake"
563098746,"['2022-12-09T21:31:46.751Z','2022-12-09T21:34:09.985Z')","latency"
563098746,"['2022-12-09T21:34:10.947Z','2022-12-09T21:47:37.481Z')","light"
563098746,"['2022-12-09T21:47:38.442Z','2022-12-09T22:16:56.665Z')","sws"
563098746,"['2022-12-09T22:16:57.626Z','2022-12-09T22:32:48.357Z')","light"
563098746,"['2022-12-09T22:32:49.319Z','2022-12-09T22:42:25.140Z')","rem"
563098746,"['2022-12-09T22:42:26.101Z','2022-12-09T22:53:57.291Z')","light"
563098746,"['2022-12-09T22:53:58.252Z','2022-12-09T23:23:45.341Z')","sws"
563098746,"['2022-12-09T23:23:46.302Z','2022-12-09T23:26:09.537Z')","disturbances"
563098746,"['2022-12-09T23:23:46.302Z','2022-12-09T23:57:24.092Z')","light"
563098746,"['2022-12-09T23:51:38.983Z','2022-12-09T23:53:33.379Z')","disturbances"
563098746,"['2022-12-09T23:57:25.053Z','2022-12-10T00:44:59.201Z')","rem"
563098746,"['2022-12-10T00:45:00.163Z','2022-12-10T00:52:11.789Z')","light"
563098746,"['2022-12-10T00:52:12.751Z','2022-12-10T01:06:08.122Z')","rem"
563098746,"['2022-12-10T01:06:09.083Z','2022-12-10T01:08:32.330Z')","light"
563098746,"['2022-12-10T01:08:33.291Z','2022-12-10T01:17:40.285Z')","sws"
563098746,"['2022-12-10T01:17:41.247Z','2022-12-10T01:23:26.355Z')","light"
563098746,"['2022-12-10T01:19:36.603Z','2022-12-10T01:23:26.355Z')","disturbances"
563098746,"['2022-12-10T01:23:27.316Z','2022-12-10T01:42:39.944Z')","rem"
563098746,"['2022-12-10T01:42:40.906Z','2022-12-10T03:09:39.922Z')","light"
563098746,"['2022-12-10T01:56:37.250Z','2022-12-10T01:58:31.645Z')","disturbances"
563098746,"['2022-12-10T02:40:21.660Z','2022-12-10T02:42:16.055Z')","disturbances"
563098746,"['2022-12-10T03:09:40.883Z','2022-12-10T03:15:26.004Z')","sws"
563098746,"['2022-12-10T03:15:26.965Z','2022-12-10T03:32:44.237Z')","light"
563098746,"['2022-12-10T03:32:45.198Z','2022-12-10T03:44:45.228Z')","rem"
563098746,"['2022-12-10T03:44:46.189Z','2022-12-10T03:59:10.414Z')","light"
563098746,"['2022-12-10T03:51:29.945Z','2022-12-10T03:53:24.344Z')","disturbances"
563098746,"['2022-12-10T03:54:51.823Z','2022-12-10T03:56:17.379Z')","disturbances"
563098746,"['2022-12-10T03:59:11.375Z','2022-12-10T04:06:51.853Z')","rem"
563098746,"['2022-12-10T04:06:52.814Z','2022-12-10T04:08:47.209Z')","disturbances"
563098746,"['2022-12-10T04:06:52.814Z','2022-12-10T04:08:47.209Z')","light"
563098746,"['2022-12-10T04:08:48.170Z','2022-12-10T04:23:41.232Z')","rem"
563098746,"['2022-12-10T04:23:42.194Z','2022-12-10T04:25:36.589Z')","disturbances"
563098746,"['2022-12-10T04:23:42.194Z','2022-12-10T04:25:36.589Z')","light"
563098746,"['2022-12-10T04:25:37.550Z','2022-12-10T04:37:08.740Z')","rem"
563674603,"['2022-12-10T21:27:00.641Z','2022-12-10T21:28:55.036Z')","latency"
563674603,"['2022-12-10T21:27:00.641Z','2022-12-10T21:28:55.036Z')","wake"
563674603,"['2022-12-10T21:28:55.998Z','2022-12-10T21:31:19.232Z')","light"
563674603,"['2022-12-10T21:31:20.193Z','2022-12-10T21:39:00.658Z')","wake"
563674603,"['2022-12-10T21:39:01.619Z','2022-12-10T21:44:17.888Z')","light"
563674603,"['2022-12-10T21:40:56.976Z','2022-12-10T21:42:51.371Z')","disturbances"
563674603,"['2022-12-10T21:44:18.850Z','2022-12-10T22:18:54.315Z')","sws"
563674603,"['2022-12-10T22:18:55.277Z','2022-12-10T22:27:33.419Z')","light"
563674603,"['2022-12-10T22:27:34.381Z','2022-12-10T22:49:11.178Z')","rem"
563674603,"['2022-12-10T22:49:12.139Z','2022-12-10T22:49:40.017Z')","light"
563674603,"['2022-12-10T22:49:40.978Z','2022-12-10T23:00:43.329Z')","sws"
563674603,"['2022-12-10T23:00:44.290Z','2022-12-10T23:02:38.686Z')","disturbances"
563674603,"['2022-12-10T23:00:44.290Z','2022-12-10T23:02:38.686Z')","light"
563674603,"['2022-12-10T23:02:39.647Z','2022-12-10T23:19:28.067Z')","sws"
563674603,"['2022-12-10T23:19:29.028Z','2022-12-10T23:20:54.584Z')","light"
563674603,"['2022-12-10T23:19:29.028Z','2022-12-10T23:20:54.584Z')","disturbances"
563674603,"['2022-12-10T23:20:55.546Z','2022-12-10T23:23:18.780Z')","sws"
563674603,"['2022-12-10T23:23:19.741Z','2022-12-10T23:48:47.251Z')","light"
563674603,"['2022-12-10T23:34:51.865Z','2022-12-10T23:36:17.434Z')","disturbances"
563674603,"['2022-12-10T23:37:44.912Z','2022-12-10T23:39:39.307Z')","disturbances"
563674603,"['2022-12-10T23:48:48.212Z','2022-12-11T00:16:39.945Z')","sws"
563674603,"['2022-12-11T00:16:40.906Z','2022-12-11T00:19:04.140Z')","disturbances"
563674603,"['2022-12-11T00:16:40.906Z','2022-12-11T00:24:50.210Z')","light"
563674603,"['2022-12-11T00:24:51.171Z','2022-12-11T00:33:58.166Z')","rem"
563674603,"['2022-12-11T00:33:59.127Z','2022-12-11T00:56:04.778Z')","light"
563674603,"['2022-12-11T00:56:05.740Z','2022-12-11T01:48:28.269Z')","rem"
563674603,"['2022-12-11T01:48:29.230Z','2022-12-11T03:18:50.073Z')","light"
563674603,"['2022-12-11T01:55:12.991Z','2022-12-11T01:57:07.386Z')","disturbances"
563674603,"['2022-12-11T02:25:01.030Z','2022-12-11T02:26:26.586Z')","disturbances"
563674603,"['2022-12-11T02:40:23.894Z','2022-12-11T02:42:18.290Z')","disturbances"
563674603,"['2022-12-11T03:18:51.035Z','2022-12-11T03:25:04.982Z')","wake"
563674603,"['2022-12-11T03:25:05.943Z','2022-12-11T03:32:46.420Z')","light"
563674603,"['2022-12-11T03:32:47.382Z','2022-12-11T03:43:49.720Z')","rem"
