"sport_name","created_at","updated_at","sport_id","activity_id","gps_enabled","intensity_score","max_heart_rate","average_heart_rate","distance","performance","energy","rpe","altitude_gain","altitude_change","cumulative_workout_intensity","zone_durations","projected_score","confidence","wac_prediction","kilojoules","user_id","during","timezone_offset","survey_response_id","percent_recorded","auto_detected","state","responded","team_act_id","source"
"Functional Fitness","2023-04-15T07:56:23.274+0000","2023-04-15T08:04:36.221+0000",48,649667583,false,5.6649,134,100,,,,,,,0,"[656557,1593855,201874,0,0,0]",,,,658.3948364257812,6696318,"['2023-04-15T07:15:30.000Z','2023-04-15T07:56:22.829Z')","+0200",,1,false,"complete",false,,"user"
"Cycling","2023-04-13T15:58:31.131+0000","2023-04-13T15:58:34.688+0000",1,648579174,false,6.6053,162,124,,,,,,,0,"[0,223062,756549,183607,97092,0]",,,,711.3128662109375,6696318,"['2023-04-13T15:25:00.000Z','2023-04-13T15:46:00.000Z')","+0200",,1,false,"complete",false,,"user"
"Functional Fitness","2023-04-13T14:34:22.467+0000","2023-04-13T14:54:41.912+0000",48,648537256,false,4.6817,145,112,,,,,,,0,"[20188,265343,173998,104782,0,0]",,,,230.34571838378906,6696318,"['2023-04-13T14:24:56.900Z','2023-04-13T14:34:21.387Z')","+0200",,1,false,"complete",false,,"user"
"HIIT","2023-04-13T14:23:50.783+0000","2023-04-13T14:37:33.415+0000",96,648530744,false,6.2411,153,111,,,,,,,0,"[390330,489304,561403,286469,0,0]",,,,693.5352783203125,6696318,"['2023-04-13T13:55:03.218Z','2023-04-13T14:23:50.119Z')","+0200",,1,false,"complete",false,,"user"
"Functional Fitness","2023-04-12T14:05:07.257+0000","2023-04-12T14:18:04.100+0000",48,647772387,false,5.3443,135,102,,,,,,,0,"[273011,1294918,233597,0,0,0]",,,,503.59759521484375,6696318,"['2023-04-12T13:35:04.825Z','2023-04-12T14:05:06.273Z')","+0200",,1,false,"complete",false,,"user"
"Functional Fitness","2023-04-11T10:52:42.902+0000","2023-04-11T10:56:25.365+0000",48,646796705,false,6.2824,152,112,,,,,,,0,"[243327,584512,615238,234556,0,0]",,,,707.1301879882812,6696318,"['2023-04-11T10:24:27.414Z','2023-04-11T10:52:42.527Z')","+0200",,1,false,"complete",false,,"user"
"Commuting","2023-04-10T18:15:19.777+0000","2023-04-10T18:15:24.134+0000",89,646343907,false,5.7165,123,83,,,,,,,0,"[6368695,1604420,67291,0,0,0]",,,,1018.9902954101562,6696318,"['2023-04-10T15:59:00.000Z','2023-04-10T18:13:00.000Z')","+0200",,1,false,"complete",false,,"user"
"Rowing","2023-04-09T11:39:57.456+0000","2023-04-09T11:48:41.606+0000",18,645360964,false,7.7706,162,124,,,,,,,0,"[141351,332612,378740,550811,142275,0]",,,,880.9925537109375,6696318,"['2023-04-09T11:14:11.509Z','2023-04-09T11:39:56.985Z')","+0200",,1,false,"complete",false,,"user"
"Functional Fitness","2023-04-08T07:36:02.846+0000","2023-04-08T07:49:20.021+0000",48,644509975,false,7.9434,144,115,,,,,,,0,"[2883,1303532,1852475,98054,0,0]",,,,1430.3497314453125,6696318,"['2023-04-08T06:41:46.339Z','2023-04-08T07:36:02.542Z')","+0200",,1,false,"complete",false,,"user"
"Functional Fitness","2023-04-06T15:58:57.112+0000","2023-04-07T05:19:11.833+0000",48,643436531,false,4.2487,120,89,,,,,,,0,"[634499,371066,8652,0,0,0]",,,,145.872314453125,6696318,"['2023-04-06T10:49:01.905Z','2023-04-06T11:05:56.000Z')","+0200",,1,false,"complete",false,,"user"
